# Source: NUDEC_BSM v2 (https://github.com/MiguelEA/nudec_BSM/tree/v2)
# Escudero, Jackson, Laine, Sandner, arXiv:2511.04747 (2025)
# me = 0.51099895 MeV, alpha = 1/137.035999084
# T (MeV)           dP_int/dT (e^4) [MeV^3]
2.351730E+01        -6.759049E-01
2.349617E+01        -6.739648E-01
2.347506E+01        -6.720341E-01
2.345397E+01        -6.701135E-01
2.343291E+01        -6.681945E-01
2.341186E+01        -6.662841E-01
2.339082E+01        -6.643735E-01
2.336981E+01        -6.624733E-01
2.334882E+01        -6.605738E-01
2.332784E+01        -6.586829E-01
2.330689E+01        -6.567936E-01
2.328595E+01        -6.549130E-01
2.326503E+01        -6.530424E-01
2.324413E+01        -6.511725E-01
2.322325E+01        -6.493027E-01
2.320239E+01        -6.474425E-01
2.318155E+01        -6.455923E-01
2.316072E+01        -6.437420E-01
2.313992E+01        -6.419021E-01
2.311913E+01        -6.400620E-01
2.309836E+01        -6.382314E-01
2.307761E+01        -6.364016E-01
2.305688E+01        -6.345812E-01
2.303617E+01        -6.327616E-01
2.301548E+01        -6.309515E-01
2.299480E+01        -6.291413E-01
2.297414E+01        -6.273406E-01
2.295351E+01        -6.255414E-01
2.293289E+01        -6.237510E-01
2.291229E+01        -6.219706E-01
2.289170E+01        -6.201901E-01
2.287114E+01        -6.184106E-01
2.285059E+01        -6.166398E-01
2.283007E+01        -6.148706E-01
2.280956E+01        -6.131100E-01
2.278907E+01        -6.113596E-01
2.276860E+01        -6.096099E-01
2.274814E+01        -6.078595E-01
2.272771E+01        -6.061195E-01
2.270729E+01        -6.043794E-01
2.268689E+01        -6.026488E-01
2.266651E+01        -6.009190E-01
2.264615E+01        -5.991987E-01
2.262581E+01        -5.974885E-01
2.260548E+01        -5.957782E-01
2.258518E+01        -5.940690E-01
2.256489E+01        -5.923684E-01
2.254462E+01        -5.906686E-01
2.252436E+01        -5.889775E-01
2.250413E+01        -5.872880E-01
2.248391E+01        -5.856072E-01
2.246372E+01        -5.839280E-01
2.244354E+01        -5.822575E-01
2.242338E+01        -5.805877E-01
2.240323E+01        -5.789267E-01
2.238311E+01        -5.772673E-01
2.236300E+01        -5.756166E-01
2.234291E+01        -5.739667E-01
2.232284E+01        -5.723169E-01
2.230279E+01        -5.706767E-01
2.228275E+01        -5.690458E-01
2.226274E+01        -5.674165E-01
2.224274E+01        -5.657866E-01
2.222276E+01        -5.641662E-01
2.220279E+01        -5.625551E-01
2.218285E+01        -5.609364E-01
2.216292E+01        -5.593350E-01
2.214301E+01        -5.577351E-01
2.212312E+01        -5.561354E-01
2.210325E+01        -5.545451E-01
2.208339E+01        -5.529550E-01
2.206355E+01        -5.513649E-01
2.204373E+01        -5.497844E-01
2.202393E+01        -5.482141E-01
2.200415E+01        -5.466446E-01
2.198438E+01        -5.450745E-01
2.196463E+01        -5.435139E-01
2.194490E+01        -5.419542E-01
2.192519E+01        -5.404039E-01
2.190549E+01        -5.388538E-01
2.188581E+01        -5.373131E-01
2.186615E+01        -5.357733E-01
2.184651E+01        -5.342336E-01
2.182688E+01        -5.327027E-01
2.180728E+01        -5.311735E-01
2.178769E+01        -5.296529E-01
2.176811E+01        -5.281325E-01
2.174856E+01        -5.266223E-01
2.172902E+01        -5.251122E-01
2.170950E+01        -5.236117E-01
2.169000E+01        -5.221120E-01
2.167052E+01        -5.206125E-01
2.165105E+01        -5.191217E-01
2.163160E+01        -5.176318E-01
2.161217E+01        -5.161514E-01
2.159275E+01        -5.146712E-01
2.157336E+01        -5.131918E-01
2.155398E+01        -5.117213E-01
2.153461E+01        -5.102602E-01
2.151527E+01        -5.087914E-01
2.149594E+01        -5.073399E-01
2.147663E+01        -5.058808E-01
2.145734E+01        -5.044305E-01
2.143806E+01        -5.029896E-01
2.141881E+01        -5.015503E-01
2.139956E+01        -5.001098E-01
2.138034E+01        -4.986702E-01
2.136113E+01        -4.972487E-01
2.134195E+01        -4.958202E-01
2.132277E+01        -4.943990E-01
2.130362E+01        -4.929795E-01
2.128448E+01        -4.915687E-01
2.126536E+01        -4.901589E-01
2.124626E+01        -4.887493E-01
2.122717E+01        -4.873484E-01
2.120810E+01        -4.859577E-01
2.118905E+01        -4.845587E-01
2.117002E+01        -4.831685E-01
2.115100E+01        -4.817877E-01
2.113200E+01        -4.804078E-01
2.111302E+01        -4.790282E-01
2.109405E+01        -4.776574E-01
2.107510E+01        -4.762874E-01
2.105617E+01        -4.749177E-01
2.103725E+01        -4.735568E-01
2.101836E+01        -4.721975E-01
2.099948E+01        -4.708470E-01
2.098061E+01        -4.694967E-01
2.096176E+01        -4.681560E-01
2.094293E+01        -4.668068E-01
2.092412E+01        -4.654665E-01
2.090532E+01        -4.641356E-01
2.088654E+01        -4.628057E-01
2.086778E+01        -4.614761E-01
2.084904E+01        -4.601559E-01
2.083031E+01        -4.588360E-01
2.081159E+01        -4.575248E-01
2.079290E+01        -4.562061E-01
2.077422E+01        -4.549046E-01
2.075556E+01        -4.535956E-01
2.073691E+01        -4.522947E-01
2.071829E+01        -4.509954E-01
2.069967E+01        -4.497042E-01
2.068108E+01        -4.484147E-01
2.066250E+01        -4.471339E-01
2.064394E+01        -4.458449E-01
2.062539E+01        -4.445732E-01
2.060687E+01        -4.432946E-01
2.058835E+01        -4.420234E-01
2.056986E+01        -4.407539E-01
2.055138E+01        -4.394931E-01
2.053292E+01        -4.382334E-01
2.051447E+01        -4.369732E-01
2.049605E+01        -4.357231E-01
2.047763E+01        -4.344727E-01
2.045924E+01        -4.332232E-01
2.044086E+01        -4.319825E-01
2.042250E+01        -4.307428E-01
2.040415E+01        -4.295119E-01
2.038582E+01        -4.282727E-01
2.036751E+01        -4.270515E-01
2.034921E+01        -4.258222E-01
2.033093E+01        -4.246015E-01
2.031267E+01        -4.233819E-01
2.029442E+01        -4.221711E-01
2.027619E+01        -4.209612E-01
2.025798E+01        -4.197517E-01
2.023978E+01        -4.185509E-01
2.022160E+01        -4.173511E-01
2.020343E+01        -4.161509E-01
2.018528E+01        -4.149602E-01
2.016715E+01        -4.137705E-01
2.014903E+01        -4.125804E-01
2.013093E+01        -4.113998E-01
2.011285E+01        -4.102202E-01
2.009478E+01        -4.090401E-01
